,,Avl etter fradrag av udsæden,,,,,,
Prestegjeld,Nr,Hvede,Rug,Byg,Blandkorn,Havre,Erter,Poteter
Skognen,,72,146,1678,60,10867,154,17146
Værdalen,,23,95,1316,35,6610,50,10338
Ytterøen,,4,41,1052,17,3434,15,7242
Inderøen,,18,152,1446,26,6860,166,13763
Sparbøen,,8,104,1707,13,7686,55,14809
Stod,,,142,1425,,6401,19,11062
Bedstaden,,1,77,1072,18,6953,29,11810
Snaasen,,,28,2025,70,1893,4,2586
Overhalden,,,40,1570,307,6683,,8295
Grong,,,22,1023,584,2488,,4095
Fosnæs,,,33,541,8,2189,1,3941
Nærøen,,,6,529,81,1334,,2826
Kolvereid,,,16,776,149,2128,2,4524
Bindalen,,,5,297,47,611,,1586
Brønøe,,,7,1018,442,814,,3461
Vægøe,,,3,311,139,374,,1518
Alstahoug,,,21,1192,2617,759,,8056
Vefsen,,,3,2057,1799,1113,,3108
Næsne,,,6,715,1290,285,,2306
Ranen,,,194,4190,5,450,,4907
Lurøe,,,11,633,31,158,,1079
Rødøe,,,6,37,1367,84,,1368
Gilleskaal,,,135,2329,4,,,993
Skjerstad,,,146,1443,15,,,1546
Saltdalen,,,40,523,,8,,441
Bodøe Landdistrict,,,99,1137,,14,,1928
Folden,,,70,709,2,,,357
Stegen,,,160,1360,,25,,1574
Hammerøe,,,91,699,,,,941
Lødingen,,,104,926,,3,,1081
Ofoten,,,35,1021,,,,1218
Hassel,,,,863,,,,4730
Bøe,2,,,23,,,,630
Ørnæs,,,,4,,,,278
Overberg,,,,58,,,,1261
Vaagen,,,,197,,,,585
Borge,2,,,,,,,336
Buksnæs,,,,74,,,,1338
Flakstad,,,,,,,,277
Værøe,,,,,,,,111
Ibbestad,,,50,1876,,,,1364
Qvæfjord,,,34,938,,,,1060
Trondenæs,,,97,3230,,4,,3434
Tranøe,,,119,937,4,8,,1589
Berg,2,,,15,,,,145
Lenvig,,,,575,,,,1034
Tromsøe Landdistrict,,,,394,,,,2062
Karlsøe,,,,,,,,82
Lyngen,,,,150,,,,522
Skjervøe,,,,39,,,,129
Alten Talvig,,,,183,,,,511
Loppen,,,,,,,,8
Hammerfest Landdistrict,,,,,,,,
Kistrand,,,,,,,,
Lebesbye,,,,,,,,
Vadsøe,,,,,,,,
Sum,,8241,65885,404343,268685,1012772,26659,1998478
%,,0.5 %,3.7 %,23.0 %,15.3 %,57.5 %,,
